s_cpu,s_mem,s_frag,w_pod,w_cpu,w_mem,w_pow,r_frag,r_unsched,r_pow,r_lbf_c,r_lbf_m
0.0,0.0,0.0,0.3234,0.1778,0.1566,0.3422,0.0,0.0,1948.375130257573,0.9563094129804968,0.9135721478811041
0.08870175438596489,0.09666236733490566,0.0,0.3304,0.1814,0.1342,0.3541,0.0,0.0,2461.905221208054,0.7965083015662433,0.7329311157331655
0.17261403508771933,0.19116818985849057,0.0,0.1195,0.3029,0.3131,0.2645,0.0,0.0,7023.554780580331,0.6616517328857643,0.6169941210840905
0.258719298245614,0.28377948113207546,0.0,0.2213,0.2856,0.2097,0.2834,0.0,0.0,7495.6028090300515,0.5392735371484074,0.49437954945592383
0.3412631578947369,0.3789718455188679,0.0,0.197,0.444,0.2398,0.1192,0.0,0.0,7756.351526263148,0.45691489494479953,0.41729285809471645
0.42661403508771933,0.4722099793632075,0.0,0.6209,0.0846,0.1972,0.0973,0.0,0.0,7861.975013005978,0.42090476322217596,0.36147023592457594
0.5165087719298246,0.5675471698113208,0.0,0.3713,0.1628,0.1579,0.308,0.0,0.0,8015.980175149973,0.3853057508715621,0.3077844497869767
0.6038771929824562,0.661387087264151,0.0,0.3702,0.3302,0.2227,0.077,0.0,0.0,8178.521921066413,0.3453707127826695,0.24699011385507857
0.6964210526315792,0.7538288620283019,0.0,0.1961,0.2196,0.3855,0.1988,0.0,0.0,8345.408993532956,0.286035103102033,0.17313229580927578
0.7826491228070176,0.8500022110849057,0.0,0.2675,0.1171,0.2041,0.4113,0.00564606351628077,0.038,8415.223425041955,0.26149074590491195,0.13970263125142576
0.8345438596491228,0.9100696491745283,0.00564606351628077,0.2599,0.1852,0.2773,0.2776,0.018640114001118334,0.12545454545454546,8415.223425041955,0.26149074590491195,0.13970263125142576
0.8345438596491228,0.9100696491745283,0.018640114001118334,0.1653,0.0869,0.6357,0.1121,0.02946848940514963,0.19833333333333333,8415.223425041955,0.26149074590491195,0.13970263125142576
