Batch,Total Pods,Unscheduled,Active Nodes,Total Power (W),Avg Resource Fragmentation,LBF CPU,LBF Mem,LBF Pod
1,50,0,18,1531.3070202698166,0.0,1.0392613138567341,0.9555958234696439,1.2521980673998823
2,100,0,20,2097.848886002459,0.0,0.8196518365902188,0.7544281844323645,1.0825894882179485
3,150,0,26,4899.344256506146,0.0,0.6604419874386698,0.6266099696977748,0.758946638440411
4,200,0,27,5587.903793783121,0.0,0.587710909928273,0.549022432848911,1.0459445491994304
5,250,0,28,6330.663216062809,0.0,0.5148551612339529,0.48661858019195997,1.096029196691402
6,300,0,28,6451.986200865972,0.0,0.4778284101447217,0.43162223087684115,1.1454256850621083
7,350,0,28,6615.592888671157,0.0,0.430223767403952,0.36856531650312196,1.1119389206540555
8,400,0,30,8158.673630998476,0.0,0.34028332590192517,0.26382898976842667,0.9959919678390985
9,450,0,30,8358.76962832651,0.0,0.2812188450967446,0.18586397369252564,0.9750973360720533
10,500,23,30,8429.823274095312,0.007497229185473839,0.2497484219039465,0.1633971895649912,0.9673206780586572
11,550,73,30,8429.823274095312,0.021632321365201195,0.2497484219039465,0.1633971895649912,0.9673206780586572
