Batch,Total Pods,Unscheduled,Active Nodes,Total Power (W),Avg Resource Fragmentation,LBF CPU,LBF Mem,LBF Pod
1,50,0,14,935.3579416798232,0.0,1.1570927587636757,1.106797441202062,1.634625339336204
2,100,0,20,2095.643254790482,0.0,0.8184526972421277,0.7578051128970695,1.1072488428533127
3,150,0,28,5617.692524293112,0.0,0.7104182339862336,0.6592692124889113,1.2436505404118419
4,200,0,28,5887.793853134522,0.0,0.6304052325136106,0.5734332773986248,1.289961239727768
5,250,0,28,6102.2301066494065,0.0,0.5744684139071454,0.5237663878323203,1.321937971313329
6,300,0,28,6520.908514910331,0.0,0.4692792583369066,0.4226186155955562,1.132843031197762
7,350,0,28,6617.067572062107,0.0,0.43732000837943913,0.38277254223078866,1.157054670360948
8,400,0,30,7972.9417431605625,0.0,0.3696752182155847,0.30497923076852895,1.0810296018148622
9,450,0,30,8280.452813272435,0.0,0.2992394347863139,0.22131986444172783,1.0119288512538813
10,500,22,30,8428.464837326235,0.0073613045866759525,0.2507446141179419,0.1642739584859292,0.9699896321902662
11,550,72,30,8428.464837326235,0.02190140207606069,0.2507446141179419,0.1642739584859292,0.9699896321902662
