Batch,Total Pods,Unscheduled,Active Nodes,Total Power (W),Avg Resource Fragmentation,LBF CPU,LBF Mem,LBF Pod
1,50,0,14,934.4253327104584,0.0,1.15628130209592,1.106807665464713,1.61245154965971
2,100,0,19,1894.338796377332,0.0,0.8317512619970588,0.7834314055587098,1.1653325705565771
3,150,0,22,3129.099437280046,0.0,0.6919783172962011,0.6515661084727452,1.1944315244779278
4,200,0,23,3711.804528942295,0.0,0.6256590463272467,0.5788282458459453,1.3152946437965907
5,250,0,26,5158.835342593541,0.0,0.5529633734860444,0.5077703000046638,1.2586977397294394
6,300,0,28,6389.4619602283,0.0,0.4882217675115133,0.4315719763413147,1.1696153213770757
7,350,0,28,6590.044315630471,0.0,0.4304774037160193,0.3741253864065919,1.1265986374019445
8,400,0,30,7945.979915405163,0.0,0.3619357911340404,0.2965074959127436,1.0765105665993249
9,450,0,30,8306.736962075578,0.0,0.2821815668295089,0.19544224362300527,0.9971812124034278
10,500,25,30,8429.263285288933,0.008033649413421187,0.2381941189478409,0.14139962853399612,0.9624184679645461
11,550,75,30,8429.263285288933,0.02190995294569414,0.2381941189478409,0.14139962853399612,0.9624184679645461
