Batch,Total Pods,Unscheduled,Active Nodes,Total Power (W),Avg Resource Fragmentation,LBF CPU,LBF Mem,LBF Pod
1,50,0,14,933.5515790159407,0.0,1.1451680579670682,1.1223438743901932,1.649242250247064
2,100,0,20,2090.9160820149114,0.0,0.8015196525255448,0.7587420284198577,1.1045361017187258
3,150,0,22,3101.8402532551436,0.0,0.6912996136057125,0.6529331817440914,1.3276545735494103
4,200,0,26,4895.569748607051,0.0,0.6047622272605065,0.5729841694930471,1.2729886095327012
5,250,0,26,5152.207895606712,0.0,0.5409158637972282,0.5124077596943012,1.2704644819907402
6,300,0,26,5393.738880252202,0.0,0.4698891400679131,0.4381043178080798,1.1899579824514812
7,350,0,28,6583.027877457202,0.0,0.4126313658956843,0.3680590861611393,1.1252936124788562
8,400,0,28,6826.959568170554,0.0,0.348432580466538,0.30710236696437293,1.0810296018148622
9,450,0,30,8286.691066967292,0.0,0.26884587950259137,0.20696316412061339,1.0036968702787745
10,500,21,30,8434.701199382755,0.006428181948664816,0.21531205364484746,0.14432150493931864,0.9634355833273027
11,550,71,30,8434.701199382755,0.019757615513212205,0.21531205364484746,0.14432150493931864,0.9634355833273027
