Batch,Total Pods,Unscheduled,Active Nodes,Total Power (W),Avg Resource Fragmentation,LBF CPU,LBF Mem,LBF Pod
1,50,0,20,1938.952159759495,0.0,0.9618284896049036,0.8861876005218104,0.8532291603080617
2,100,0,23,3237.867870108995,0.0,0.77624646802425,0.7402476945329788,0.9899494936611665
3,150,0,30,7022.335497751324,0.0,0.650935733944465,0.6281437745286597,0.6531972647421809
4,200,0,30,7518.3093928319695,0.0,0.5233676131611751,0.5042569178221123,0.5839520528262573
5,250,0,30,7776.297728154484,0.0,0.4356454762773959,0.4256810229846253,0.747689775241042
6,300,0,30,7863.8182799885735,0.0,0.4032311392811887,0.37432780371484925,0.9215928240461366
7,350,0,30,7961.709182305526,0.0,0.388842586383165,0.3298066747231161,1.0016313224547488
8,400,0,30,8182.576200309081,0.0,0.32986535822546414,0.26270618681019375,0.9825349866544193
9,450,0,30,8347.822557077285,0.0,0.275280732017842,0.19106442738611154,0.9693067396627115
10,500,22,30,8431.75391573598,0.0072817097246404726,0.23708443328980755,0.17169082604722646,0.963470323991582
11,550,72,30,8431.75391573598,0.021664590916285708,0.23708443328980755,0.17169082604722646,0.963470323991582
