Batch,Total Pods,Unscheduled,Active Nodes,Total Power (W),Avg Resource Fragmentation,LBF CPU,LBF Mem,LBF Pod
1,50,0,14,934.201815394644,0.0,1.159903473213505,1.1249028653430238,1.61245154965971
2,100,0,20,2068.375177142611,0.0,0.8293706923703327,0.7810665407575192,1.1419281938896155
3,150,0,24,3917.904972766197,0.0,0.6931448218391563,0.6522374551914041,1.159310139695155
4,200,0,24,4103.951877276335,0.0,0.6279207177002787,0.5896505540015304,1.320416600925632
5,250,0,26,5169.343053172046,0.0,0.5542354895050722,0.5146820050965503,1.2567895607459507
6,300,0,26,5394.285099555952,0.0,0.48687740187928086,0.4424833202221511,1.186591757935306
7,350,0,28,6590.044315630471,0.0,0.4304774037160193,0.3741253864065919,1.1265986374019445
8,400,0,30,7949.782349514419,0.0,0.36599281980682713,0.30857541595097115,1.0726718976462466
9,450,0,30,8289.947964048457,0.0,0.29285450448640277,0.21403759008318535,1.0022197585581938
10,500,23,30,8429.621310271481,0.0074286549340224885,0.24562416980363155,0.1590570321098061,0.9643172900680627
11,550,73,30,8429.621310271481,0.021434458900539195,0.24562416980363155,0.1590570321098061,0.9643172900680627
